,description,link,location,phone,service_name,va_facility
2190,Radiology Service offers multiple imaging services.,http://www.manchester.va.gov/services/radiology.asp,"Building 1, Basement levelManchester VAMC",603-624-4366 Ext. 6291,Radiology Service,manchester
2191,Assessment and Care Plans for CLC Residents,http://www.manchester.va.gov/services/Recreation_Therapy.asp,"Building 15, 2nd floorManchester VAMC",603-624-4366 Ext. 6267,Recreation Therapy,manchester
2192,"Occupational Therapy, Physical Therapy and Speech Therapy",http://www.manchester.va.gov/services/Rehabilitation_Clinics.asp,"Building 15, 1st floorManchester VAMC",603-624-4366 Ext. 6268,Rehabilitation Clinics,manchester
2193,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,http://www.manchester.va.gov/services/Returning_Service_Members.asp,"Building 15, 2nd floorManchester VAMC",603-624-4366 Ext. 6483,Returning Service Members,manchester
2194,"Call our team of nurses and medical support staff 24 hours a Day, seven days a week.",http://www.manchester.va.gov/services/Telephone_Advice_Program.asp,Manchester VAMC and clinics,603-624-4366 Ext. 3199  800-892-8384 Ext. 3199,Telephone Advice Program,manchester
2195,Supported Employment is a program designed to help Veterans diagnosed with serious mental illness find and maintain employment in their local community,http://www.manchester.va.gov/services/Therapeutic_and_Supported_Employment.asp,Manchester VAMC,603-624-4366 Ext. 6210,Therapeutic and Supported Employment,manchester
2196,"Information related to use Veterans ability to use the Veterans Choice, Access and Accountability Act",http://www.manchester.va.gov/services/Veterans_Choice_Access_and_Accountability_Act.asp,CALL HealthNet,866-606-8198,"Veterans Access Choice, and Accountability Act",manchester
2197,"Assistance with disability compensation, non-service connected pension benefits,  specially adapted housing grants, automobile assistance grants and more.",http://www.manchester.va.gov/services/Veterans_Benefit_Administration.asp,"Manchester VAMC 718 Smyth Road,  Room N138, Manchester, NH",603-624-4366 Ext. 2502,Veterans Benefit Administration (VBA),manchester
2198,Outreach services and assistance with facilitating medical care for blinded Veterans.,http://www.manchester.va.gov/services/vist.asp,"Building 1, 1st FloorManchester VAMC",603-624-4366 Ext. 6475,Visual Impairment Services (VIST),manchester
2199,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,http://www.manchester.va.gov/services/women.asp,Manchester VAMC,603-624-4366 Ext. 6541,Women Veterans,manchester
2200,"Our mental health program includes consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.marion.va.gov/services/mentalhealth.asp,"Bldg 8, First floor, Room 107",618-997-5311,Behavioral Medicine,marion
2201,"The Marion VA Medical Center provides guidelines and instruction on managing diabetes, and offers Diabetes Education Group Classes at some of its clinical locations.",http://www.marion.va.gov/services/Diabetes_Education.asp,Marion VA Medical Center,618-997-5311,Diabetes Education,marion
2202,The Marion VA Medical Center provides guidelines and instruction on managing diabetes Diabetes Education Group Classes at some of its clinical locations.,http://www.marion.va.gov/services/Diabetes_Education.asp,Marion VA Medical Center,618-997-5311,Diabetes Education,marion
2203,"Our rehabilitation programs include physical medicine and rehabilitation, transitional care, as well as home and community care.",http://www.marion.va.gov/services/ecrc.asp,Marion VA Medical Center,618-997-5311,Extended Care and Rehabilitation Programs,marion
2204,"View lab results and upcoming clinic appointments, receive wellness reminders, request medication refills, and communicate electronically with VA health care providers.",http://www.marion.va.gov/services/My_HealtheVet.asp,Marion VA Medical Center,618-997-5311 Ext. 54381  877-327-0022,My HealtheVet,marion
2205,"In addition to in-patient nutrition services, we offer out-patient nutrition counseling at all of our facilities which includes Group Diabetes Education, and MOVE.",http://www.marion.va.gov/services/Nutrition_Service_MOVE.asp,"Nutrition ClinicMain Hospital - Bldg 382nd Floor, Room 213",618-997-5311,Nutrition Service/Diabetes/MOVE!,marion
2206,"Prescriptions may be refilled by mail, phone, or online.",http://www.marion.va.gov/services/pharmacy.asp,"Outpatient PharmacyOutPatient Facility - Bldg 42Ground floor, Room D99",618-993-1089  888-882-0569,Pharmacy,marion
2207,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.marion.va.gov/services/primary.asp,Marion VA Medical Center,866-289-3300,Primary Care,marion
2208,"Our residential program is a brand new, state-of-the-art 14-person home setting for men and women.",http://www.marion.va.gov/services/RRTP.asp,Marion VA Medical Center,618-997-5311,Residential Rehabilitation Treatment Program,marion
2209,"We offer neurology, cardiology, oncology, hematology, dermatology, and podiatry.",http://www.marion.va.gov/services/specialty.asp,Marion VA Medical Center,618-997-5311,Specialty Care,marion
2210,Our spinal cord injury program provides care to Veterans who have suffered spinal cord injuries.,http://www.marion.va.gov/services/Spinal_Cord.asp,Marion VA Medical Center,618-997-5311 Ext. 64140/55512  866-289-3300 Ext. 64140/55074,Spinal Cord Injury & Disorders Clinic,marion
2211,The Marion VA Medical Center offers a variety of surgical services for Veterans.,http://www.marion.va.gov/services/Surgical_Specialty.asp,"Outpatient Facility - Bldg 42Ground floor, Room B104",618-997-5311,Surgical Specialty,marion
2212,Chaplain Service provides spiritual/pastoral care support and counseling.,http://www.martinsburg.va.gov/services/Chaplain_Service.asp,"510 Butler AvenueRoom 2D-100Martinsburg, WV 25405",304-263-0811 Ext. 3300 or 3301  800-817-3807 Ext. 3300 or 3301,Chaplain Service,martinsburg
2213,The Flu Clinic provides flu shots to all Veterans enrolled in VA Health Care and medical center staff.,http://www.martinsburg.va.gov/services/Flu_Clinic.asp,"510 Butler AvenueRoom 3C-106Martinsburg, WV 25405",304-263-0811 Ext. 3508  800-817-3807 Ext. 3508,Flu Clinic,martinsburg
2214,Geriatric and Long-Term Care Programs are designed to meet health care needs of elderly and chronically ill.,http://www.martinsburg.va.gov/services/ecrc.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811  800-817-3807,Geriatric/Long-Term Care,martinsburg
2215,MOVE is a national weight management program for Veterans.,http://www.martinsburg.va.gov/services/MOVE_Program.asp,"510 Butler AvenueLibrary, Room 2B-150Martinsburg, WV 25405",304-263-0811 Ext. 3691 or 3693  800-817-3807 Ext. 3691 or 3693,MOVE! Program,martinsburg
2216,The Martinsburg VA Medical Center's Medical Foster Home (MFH) Program combines an adult foster home and a VA Home-Based Primary Care (HBPC) interdisciplinary team.,http://www.martinsburg.va.gov/services/Medical_Foster_Home.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 3272  800-817-3807 Ext. 3272,Medical Foster Home Program,martinsburg
2217,"Medical Service provides medical care for inpatients on the acute care unit, Ward 4M, as well as the Medical Intensive Care Unit, Ward 4A.",http://www.martinsburg.va.gov/services/medical.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 5180  800-817-3807 Ext. 5180,Medical Services,martinsburg
2218,"The mental health service provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.martinsburg.va.gov/services/mentalhealth.asp,"510 Butler AveueBuilding 213Martinsburg, WV 25405",304-263-0811 Ext. 5160  800-817-3807 Ext. 5160,Mental Health,martinsburg
2219,"Military sexual trauma or MST refers to sexual assault or repeated, threatening sexual harassment that occurred while the Veteran was in the military.",http://www.martinsburg.va.gov/services/Military_Sexual_Trauma.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 2327  800-817-3807 Ext. 2327,Military Sexual Trauma,martinsburg
2220,"The Martinsburg VA Medical Center pharmacy processes more than 3,000 prescriptions per day. Prescriptions may be refilled by mail, telephone or the Internet.",http://www.martinsburg.va.gov/services/pharmacy.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 5110  800-817-3807 Ext. 5110,Pharmacy,martinsburg
2221,The Primary Care Service offers an extensive range of treatment interventions with emphasis on health care prevention.,http://www.martinsburg.va.gov/services/primary.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 5130  800-817-3807 Ext. 5130,Primary Care,martinsburg
2222,The Prosthetic and Sensory Aids Service serves as the health care provider for assistive aids and as case manager for prosthetic equipment needs of the disabled veteran.,http://www.martinsburg.va.gov/services/prosthetics.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811  800-817-3807,Prosthetics and Sensory Aids Service,martinsburg
2223,"Many specialty care programs are offered like Audiology and Speech Pathology, Neurology, and Cardiology to name a few.",http://www.martinsburg.va.gov/services/specialty.asp,"510 Butler AvenueMartinsburg, WV 25405","304-263-0811 Ext. Press 2, Then 3  800-817-3807 Ext. Press 2, Then 3",Specialty Care,martinsburg
2224,General surgery is a surgical specialty that focuses on the surgical treatment of abdominal organs.,http://www.martinsburg.va.gov/services/surgical.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 5180  800-817-3807 Ext. 5180,Surgical Service,martinsburg
2225,Our VTN program has vans that originate in several areas to bring patients to the Martinsburg VA Medical Center for scheduled medical appointments.,http://www.martinsburg.va.gov/services/veterans_transportation_network.asp,"510 Butler AvenueRoom 1C-119FMartinsburg, WV 25405",304-263-0811 Ext. 3732  800-817-3807 Ext. 3732,Veterans Transportation Network,martinsburg
2226,"VLER Health shares certain parts of your health record between the VA, DoD and selected private health care providers over a secure network.",http://www.martinsburg.va.gov/services/VLER.asp,"510 Butler AvenueMartinsburg, WV 25405",304-263-0811 Ext. 3204  800-817-3807 Ext. 3204,Virtual Lifetime Electronic Record (VLER),martinsburg
2227,The Agent Orange Registry Health Exam alerts Veterans to possible long-term health problems that may be related to Agent Orange exposure during their military service.,http://www.maryland.va.gov/services/Agent_Orange_Registry_Health_Exam.asp,VA Maryland Health Care System,800-463-6295 Ext. 7325,Agent Orange Registry Health Exam,maryland
2228,"To schedule, change, cancel or confirm a clinic appointment throughout the VA Maryland Health Care System.",http://www.maryland.va.gov/services/Appointment_Call_Center.asp,VA Maryland Health Care System,800-463-6295 Ext. 7333,Appointment Call Center,maryland
2229,"Get a listing of your upcoming clinic appointments throughout the VA Maryland Health Care System, 24 a day, 7 days a week.",http://www.maryland.va.gov/services/Automated_Appointment_Line.asp,VA Maryland Health Care System,"800-463-6295 Ext. 7395, Option 1",Automated Appointment Line,maryland
2230,The Baltimore VA Medical Center is the acute medical and surgical care facility for the VA Maryland Health Care System and offers a full range of health care services.,http://www.maryland.va.gov/services/Baltimore_VA_Medical_Center.asp,"Baltimore VA Medical Center10 North Greene StreetBaltimore, MD 21201",410-605-7000  800-463-6295,Baltimore VA Medical Center,maryland
2231,For information about the eligibility for Beneficiary Travel or how apply for travel reimbursements.,http://www.maryland.va.gov/services/Beneficiary_Travel.asp,VA Maryland Health Care System,800-463-6295 Ext. 7318,Beneficiary Travel,maryland
2232,For questions about a bill that you have received from the VA Maryland Health Care System.,http://www.maryland.va.gov/services/Billing_Information.asp,Baltimore VA Medical Center,866-393-0006,Billing Information,maryland
2233,Information about VA burial benefits.,http://www.maryland.va.gov/services/Burial_Information_and_Benefits.asp,Baltimore VA National Cemetery,410-644-9696,Burial Information and Benefits,maryland
2234,Information about support services available for a family member or friend who is providing care for a Veteran at home.,http://www.maryland.va.gov/services/Caregiver_Support.asp,Baltimore VA Medical Center,800-463-6295 Ext. 7365,Caregiver Support,maryland
2235,The mission of Chaplain Service at the Baltimore VA Medical Center is to provide spiritual/religious care to all Veterans and their family members.,http://www.maryland.va.gov/services/Chaplain_Service.asp,"Baltimore VA Medical CenterRoom 2A-107, 2nd Floor",410-605-7070  800-463-6295 Ext. 7070,Chaplain Service - Baltimore VA Medical Center,maryland
2236,The mission of Chaplain Service at the Loch Raven VA Community Living and Rehabilitation Center is to provide spiritual care to all Veteran and their family members.,http://www.maryland.va.gov/services/Chaplain_Service_Loch_Raven_VA_Community_Living_Rehabilitation_Center.asp,"Loch Raven VA Community Living and Rehabilitation CenterRoom 235, 2nd Floor",410-605-7000 Ext. 5851  800-463-6295 Ext. 5851,Chaplain Service - Loch Raven VA CLRC,maryland
2237,The mission of Chaplain Service at the Perry Point VA Medical Center is to provide spiritual/religious care to all Veterans and their family members.,http://www.maryland.va.gov/services/Chaplain_Service_Perry_Point_VA_Medical_Center.asp,Perry Point VA Medical CenterBuilding 314,410-642-2411 Ext. 5601 or 6143  800-949-1003 Ext. 5601 or 6143,Chaplain Service at Perry Point VA Medical Center,maryland
2238,"A network of VA-approved, state-licensed assisted living homes in that provide health care supervision to eligible Veterans.",http://www.maryland.va.gov/services/Community_Residential_Care_Program.asp,VA Maryland Health Care System,800-949-1003 Ext. 5969,Community Residential Care Program,maryland
2239,The Community Resource and Referral Center is a nationwide project of the Department of Veterans Affairs to assist homeless Veterans in obtaining services through the VA.,http://www.maryland.va.gov/services/Community_Resource_and_Referral_Center_CRRC.asp,"Baltimore VA Annex, 2nd floor209 West Fayette StBaltimore, MD 21201",410-637-3246,Community Resource and Referral Center (CRRC),maryland
2240,Detailed information on applying for Compensation and Pension benefits.,http://www.maryland.va.gov/services/Compensation_Pension_Examinations.asp,VA Maryland Health Care System,800-463-6295 Ext. 4470,Compensation & Pension Examinations,maryland
2241,Eligibility questions concerning dental services at the VA Maryland Health Care System.,http://www.maryland.va.gov/services/Dental_Services.asp,Baltimore VA Medical Center,410-605-7056,Dental Services - Baltimore VA Medical Center,maryland
2242,Eligibility questions concerning dental services at the VA Maryland Health Care System.,http://www.maryland.va.gov/services/Dental_Services_Perry_Point_VA_Medical_Center.asp,"Perry Point VA Medical Center, Building 23, First Floor",410-642-1010,Dental Services - Perry Point VA Medical Center,maryland
2243,"For detailed information on VA health care eligibility or how to enroll for VA health care, please visit our Become a Patient page.",http://www.maryland.va.gov/services/Eligibility_Enrollment.asp,VA Maryland Health Care System,410-605-7324  800-463-6295 Ext. 7324,Eligibility & Enrollment,maryland
2244,How to find employment at the VA Maryland Health Care System,http://www.maryland.va.gov/services/Employment_Opportunities.asp,"Perry Point VA Medical CenterAvenue D, Building 11HPerry Point, MD 21902",410-642-1023  800-949-1003 Ext. 1023,Employment Opportunities,maryland
2245,For questions about bills for non-VA health care services.,http://www.maryland.va.gov/services/Fee_Service_Non_VA_Health_Care_Billing.asp,VA Maryland Health Care System,410-642-2411 Ext. 6980  800-949-1003 Ext. 6980,Fee Service - Non-VA Health Care Billing,maryland
2246,"Conducts research on the prevention of stroke and cardiovascular disease through exercise, smoking cessation and nutrition therapy in older Veterans.",http://www.maryland.va.gov/services/Geriatric_Research_Education_and_Clinical_Center.asp,Baltimore VA Medical Center,800-463-6295 Ext. 7183,"Geriatric Research, Education and Clinical Center",maryland
2247,"Our mission is to support homeless Veterans by promoting physical and mental health, assisting in securing  housing and helping them achieve community integration.",http://www.maryland.va.gov/services/Homeless_Veterans_Program_Baltimore_VA_Medical_Center.asp,"Baltimore VA Annex, 5th Floor209 West Fayette StreetBaltimore, Maryland 21201",410-637-1342,Homeless Veterans Program - Baltimore VA Medical Center,maryland
2248,"Our mission is to support homeless Veterans by promoting physical and mental health, assisting in securing housing and helping them achieve community integration.",http://www.maryland.va.gov/services/Homeless_Veterans_Program_Perry_Point_VA_Medical_Center.asp,"Perry Point VA Medical Center, Building 15HPerry Point, Maryland 21902",410-642-2411 Ext. 5506,Homeless Veterans Program - Perry Point VA Medical Center,maryland
2249,"The VA Maryland Health Care System is committed to providing top quality care to all Veterans including lesbian, gay, bisexual, and transgender  Veterans.",http://www.maryland.va.gov/services/LGBT_Patient_Coordinator.asp,Baltimore VA Medical Center,800-463-6295 Ext. 4208 or 4121,LGBT Patient Coordinator,maryland
2250,"The VA Maryland Health Care System conducts random tests and treats the water to protect the safety of our Veteran patients, employees and visitors from Legionella.",http://www.maryland.va.gov/services/Legionella_Monitoring.asp,VA Maryland Health Care System,800-949-1003 Ext. 6554,Legionella Monitoring,maryland
2251,The Loch Raven VA Community Living and Rehabilitation Center specializes in providing rehabilitation and post-acute care for VA Maryland Health Care System patients.,http://www.maryland.va.gov/services/Loch_Raven_VA_Community_Living_Rehabilitation_Center.asp,"Loch Raven VA Community Living and Rehabilitation Center3900 Loch Raven BoulevardBaltimore, MD 21218",410-605-7000  800-463-6295,Loch Raven VA Community Living & Rehabilitation Center,maryland
2252,For information about nursing home and long-term care programs and services available throughout the VA Maryland Health Care System.,http://www.maryland.va.gov/services/Long_Term_Care_Information_Line.asp,VA Maryland Health Care System,800-949-1003 Ext. 1121,Long-Term Care Information Line,maryland
2253,"The MS Centers of Excellence are dedicated to further the understanding of the disease, its impact on Veterans, and effective treatments to help manage MS symptoms.",http://www.maryland.va.gov/services/MS_Center_of_Excellence_East.asp,Baltimore VA Medical Center,410-605-7480  800-463-6295 Ext. 7480,MS Center of Excellence - East,maryland
2254,The Medical Foster Home Program is an alternative to long-term care services for Veterans who are medically fragile.,http://www.maryland.va.gov/services/Medical_Foster_Home_Program.asp,Perry Point VA Medical Center,443-845-6484  800-949-1003 Ext. 6094,Medical Foster Home Program,maryland
2255,To request copies of your medical records or to have your VA health care provider complete a medical statement or form.,http://www.maryland.va.gov/services/Medical_Records_Release_of_Information.asp,Baltimore VA Medical Center,800-463-6295 Ext. 7348,Medical Records: Release of Information - Baltimore VA Medical Center,maryland
2256,To request copies of your medical records or to have your VA health care provider complete a medical statement or form.,http://www.maryland.va.gov/services/Medical_Records_Release_of_Information_Perry_Point.asp,Perry Point VA Medical Center,800-949-1003 Ext. 6028,Medical Records: Release of Information - Perry Point VA Medical Center,maryland
2257,"Our Mental Health Assessment and Referral Clinic provides consultation, evaluation and treatment for a variety of issues that can impact emotional well being.",http://www.maryland.va.gov/services/Mental_Health_Baltimore_VA_Medical_Center.asp,"Mental Health Assessment and Referral ClinicBaltimore VA Medical CenterRoom 6C-133, 6th Floor",410-605-7309,Mental Health - Baltimore VA Medical Center,maryland
2258,"Our Mental Health Assessment and Referral Clinic provides consultation, evaluation and treatment for a variety of issues that can impact emotional well-being.",http://www.maryland.va.gov/services/Mental_Health_Perry_Point_VA_Medical_Center.asp,"Mental Health Assessment and Referral ClinicBuilding 80H, 1st Floor",410-642-2411 Ext. 5679,Mental Health - Perry Point VA Medical Center,maryland
2259,"The Mental Illness Research, Education and Clinical Center is part of a nationwide program to improve healthcare  and mental health care for Veterans with mental illness.",http://www.maryland.va.gov/services/MIRECC.asp,"Baltimore VA Annex, 7th Floor209 West Fayette StreetBaltimore, Maryland 21201",410-637-1850,"Mental Illness Research, Education and Clinical Center (MIRECC)",maryland
2260,The Military Sexual Trauma Coordinator is available to provide information about mental health services available to Veterans impacted by MST.,http://www.maryland.va.gov/services/Military_Sexual_Trauma_MST_Coordinator.asp,VA Maryland Health Care System,410-637-1231  800-463-6295 Ext. 1231,Military Sexual Trauma (MST) Coordinator,maryland
2261,"View lab results and upcoming clinic appointments, receive wellness reminders, request medication refills, and communicate electronically with VA health care providers.",http://www.maryland.va.gov/services/MyHealtheVet.asp,VA Maryland Health Care System,800-463-6295 Ext. 7045,MyHealtheVet,maryland
2262,"For help resolving problems in receiving VA health care services, or to report a concern or a compliment about the customer service provided by any of our staff members.",http://www.maryland.va.gov/services/Patient_Advocates.asp,Baltimore VA Medical CenterBaltimore VA AnnexGlen Burnie VA Outpatient Clinic,800-463-6295 Ext. 7099,Patient Advocates - Baltimore VA Medical Center,maryland
2263,"For help resolving problems in receiving VA health care services, or to report a concern or a compliment about the customer service provided by any of our staff members.",http://www.maryland.va.gov/services/Patient_Advocates_Loch_Raven_VACLRC.asp,Loch Raven VA Community Living & Rehabilitation CenterLoch Raven VA Outpatient ClinicFort Howard & Fort Meade VA Outpatient Clinics,800-463-6295 Ext. 7542,Patient Advocates - Loch Raven VA,maryland
2264,"For help resolving problems in receiving VA health care services, or to report a concern or a compliment about the customer service provided by any of our staff members.",http://www.maryland.va.gov/services/Patient_Advocates_pp.asp,Perry Point VA Medical CenterCambridge Outpatient ClinicPocomoke City VA Outpatien Clinic,800-949-1003 Ext. 5097,Patient Advocates - Perry Point VA Medical Center,maryland
2265,"To report any patient or environmental safety issues throughout the VA Maryland Health Care System, please call the Patient Safety Hotline at 800-949-1003, ext. 7233.",http://www.maryland.va.gov/services/Patient_Safety_Hotline.asp,VA Maryland Health Care System,800-949-1003 Ext. 7233,Patient Safety Hotline,maryland
2266,"The Perry Point VA Medical Center provides a broad range of inpatient, outpatient, primary care services, and mental health care services to Marylands Veterans.",http://www.maryland.va.gov/services/Perry_Point_VA_Medical_Center.asp,"Perry Point VA Medical CenterPerry Point, MD 21902",410-642-2411  800-949-1003,Perry Point VA Medical Center,maryland
2267,"Pharmacy Service issues VA prescriptions, processes prescription refills and offers information about medications.",http://www.maryland.va.gov/services/Pharmacy.asp,Main Lobby 1A-106B,800-463-6295 Ext. 7395 (Option 2),Pharmacy - Baltimore VA Medical Center,maryland
2268,"Pharmacy Service issues VA prescriptions, processes prescription refills and offers information about medications.",http://www.maryland.va.gov/services/Pharmacy_Perry_Point_VA_Medical_Center.asp,Building 361 Room GC 108 (1st Floor),800-463-6295 Ext. 7395 (Option 2),Pharmacy - Perry Point VA Medical Center,maryland
2269,To request a prescription refill or to check on the status of your prescription.,http://www.maryland.va.gov/services/Prescription_Refill_Line.asp,VA Maryland Health Care System,800-463-6295 Ext. 7395,Prescription Refill Information,maryland
2270,"For information regarding VA Privacy/HIPAA policies and procedures, to report a possible violation or breach of privacy rights.",http://www.maryland.va.gov/services/Privacy_Office_Baltimore_VA_Medical_Center.asp,"Baltimore VA Medical CenterRoom 6D-136, 6th Floor",410-605-7000 Ext. 3152  800-463-6295 Ext. 3152,Privacy Office - Baltimore VA Medical Center,maryland
2271,For information regarding VA Privacy/HIPAA policies and procedures and to report a possible violation or breach of privacy rights.,http://www.maryland.va.gov/services/Privacy_Office_Perry_Point_VA_Medical_Center.asp,"Perry Point VA Medical CenterBuilding 19H, Room 12F, Lower Level",410-642-2411 Ext. 6168  800-949-1003 Ext. 6168,Privacy Office - Perry Point VA Medical Center,maryland
2272,Public and Community Relations responds to local and national news media inquiries and is available to support the news media with their requests.,http://www.maryland.va.gov/services/Public_Community_Relations_Baltimore_VA_Medical_Center.asp,"Baltimore VA Medical CenterRoom 6A-168A, 6th Floor","410-605-7000 Ext. 7101, 7098  800-463-6295 Ext. 7101, 7098",Public and Community Relations - Baltimore VA,maryland
2273,Public and Community Relations responds to local and national news media inquiries and is available to support the news media with their requests.,http://www.maryland.va.gov/services/Public_Community_Relations_Perry_Point_VA_Medical_Center.asp,"Perry Point VA Medical CenterBuilding 15H, Room 202, 2nd Floor",410-642-2411 Ext. 5407  800-949-1003 Ext. 5407,Public and Community Relations - Perry Point VA,maryland
2274,"Recreation Therapy provides treatment to Veterans with illnesses or disabling conditions and is provided by accessing each individuals interests, abilities and needs.",http://www.maryland.va.gov/services/Recreation_Therapy_Loch_Raven_VA_Community_Living_Rehabilitation_Center.asp,Loch Raven VA Community Living and Rehabilitation CenterRoom 130,410-605-7513  800-463-6295 Ext. 7513,Recreation Therapy at Loch Raven VA CLC,maryland
2275,"Recreation Therapy provides treatment to Veterans with illnesses or disabling conditions and is provided by accessing each individuals interests, abilities and need.",http://www.maryland.va.gov/services/Recreation_Therapy_Perry_Point_VA_Medical_Center.asp,Perry Point VA Medical CenterBuilding 314,410-642-2411 Ext. 2909  800-949-1003 Ext. 2909,Recreation Therapy at Perry Point VA Medical Center,maryland
2276,"Information about the various health care services available for Veterans returning from active duty, or for information about how to navigate the VA health care system.",http://www.maryland.va.gov/services/Returning_Veterans.asp,VA Maryland Health Care System,800-463-6295 Ext. 7259,Returning Veterans,maryland
2277,For information about Smoking Cessation Services and options to help Veterans quit smoking throughout the VA Maryland Health Care System.,http://www.maryland.va.gov/services/Smoking_Cessation_Service.asp,VA Maryland Health Care System,800-463-6295 Ext. 4989  410-605-7000 Ext. 4989,Smoking Cessation Services,maryland
2278,For medical advice or questions about medications.,http://www.maryland.va.gov/services/Telephone_Care_Line.asp,VA Maryland Health Care System,800-865-2441,Telephone Care Line,maryland
2279,"For information about VA disability, education, home loan, life insurance, vocational rehabilitation, employment and survivor's & dependent's benefits.",http://www.maryland.va.gov/services/VA_Benefits.asp,Baltimore Regional Office,800-827-1000,VA Benefits,maryland
2280,"The VA Maryland Exercise and Robotics Center of Excellence aspires to design and test new therapies to improve physical function, fitness, and cardiovascular health.",http://www.maryland.va.gov/services/Maryland_MERCE.asp,Baltimore VA Medical Center,410-637-3279,VA Maryland Exercise and Robotics Center of Excellence,maryland
2281,The Veterans Crisis Line connects Veterans in crisis and their families and friends with Department of Veterans Affairs responders through a toll-free hotline.,http://www.maryland.va.gov/services/Veterans_Crisis_Line.asp,"Veterans Crisis Line, VA Nationally",800-273-TALK  800-273-8255,Veterans Crisis Line,maryland
2282,Veterans Integration To Academic Leadership - VITAL-  is a partnership between the VA Maryland Health Care System and local colleges and universities,http://www.maryland.va.gov/services/Veterans_Integration_To_Academic_Leadership_VITAL.asp,VA Maryland Health Care System,443-206-9203,Veterans Integration To Academic Leadership (VITAL),maryland
2283,The Virtual Lifetime Electronic Record gives VA and non-VA health care providers secure access to certain parts of a Veterans electronic health record.,http://www.maryland.va.gov/services/Virtual_Lifetime_Electronic_Record.asp,"Baltimore VA Medical CenterRelease of Information, Room 3d-121, 3rd Floor",410-605-7327  800-463-6295 Ext. 7327,Virtual Lifetime Electronic Record,maryland
2284,"Voluntary Service is responsible for recruiting, training, and retaining volunteers in a variety of assignment areas throughout the VA Maryland Health Care System.",http://www.maryland.va.gov/services/Voluntary_Service_Baltimore_VA_Medical_Center.asp,"Baltimore VA Medical CenterRoom 6A-168A, 6th Floor",410-605-7100  800-463-6295 Ext. 7100,Voluntary Service - Baltimore VA Medical Center,maryland
2285,"Voluntary Service is responsible for recruiting, training, and retaining volunteers in a variety of assignment areas throughout the VA Maryland Health Care System.",http://www.maryland.va.gov/services/Voluntary_Service_Loch_Raven_VA_Community_Living_Rehabilitation_Center.asp,"Loch Raven VA Community Living and RehabilitationRoom 124, 1st Floor",410-605-7000 Ext. 5877  800-463-6295 Ext. 5877,Voluntary Service - Loch Raven VA,maryland
2286,"Voluntary Service is responsible for recruiting, training, and retaining volunteers in a variety of assignment areas throughout the VA Maryland Health Care System.",http://www.maryland.va.gov/services/Voluntary_Service_Perry_Point_VA_Medical_Center.asp,"Perry Point VA Medical CenterBuilding 15H, Room 214, 2nd Floor",410-642-2411 Ext. 1038   800-949-1003 Ext. 1038,Voluntary Service - Perry Point VA Medical Center,maryland
2287,"A national call center that receives and responds to questions from women Veterans, their families, and caregivers about the many VA services available to women Veterans.",http://www.maryland.va.gov/services/Women_Veterans_Call_Center.asp,"Women Veterans Call Center, VA Natioanlly",855-829-6636,Women Veterans Call Center,maryland
2288,The Women Veterans Program Manager advises and advocates for women Veterans throughout the VA Maryland Health Care System.,http://www.maryland.va.gov/services/Women_Veterans_Program_Manager.asp,"Baltimore VA Medical CenterRoom 2D-210, 2nd Floor",800-463-6295 Ext. 7275,Women Veterans Program Manager,maryland
2289,Resource information and advanced level case management services through telehealth equipment located at VA outpatient clinics for women Veterans living in rural areas.,http://www.maryland.va.gov/services/Women_s_Rural_Outreach_Telehealth_Program.asp,Cambridge and Pocomoke City VA Outpatient Clinics,410-642-1411 Ext. 6872   800-949-1003 Ext. 6872,Womens Rural Outreach Telehealth Program,maryland
2290,The Neurology Service Amyotrophic Lateral Sclerosis Clinic provides multidisciplinary care for patients diagnosed with ALS.,http://www.memphis.va.gov/services/Amyotrophic_Lateral_Sclerosis_ALS_Clinic.asp,Memphis VA Medical Center,901-523-8990 Ext. 6697  901-523-8990 Ext. 2364,Amyotrophic Lateral Sclerosis (ALS) Clinic,memphis
2291,Our Former Prisoner of War Program ensures that Former POWs receive special priority for health care in VA hospitals and clinics.,http://www.memphis.va.gov/services/Former_Prisoners_of_War_Program.asp,Memphis VA Medical Center,901-523-8990 Ext. 6640,Former Prisoners of War Program,memphis
